Symbol,Name,Book Value Per Share,Price / Book Value
AMRX,"Amneal Pharmaceuticals, Inc. Class A",0.06452,94.07935
LFMD,"LifeMD, Inc.",0.09163,90.47255
SWIN,Solowin Holdings,0.07356,84.55682
BCG,"Binah Capital Group, Inc.",0.15164,82.92667
PI,"Impinj, Inc.",1.25639,71.65768
EXTR,"Extreme Networks, Inc.",0.19405,69.31203
GVH,Globavend Holdings Ltd.,0.02534,58.79642
NWGL,Nature Wood Group Limited Sponsored ADR,0.1373,58.26657
HALO,"Halozyme Therapeutics, Inc.",0.6611,55.90682
VVOS,"Vivos Therapeutics, Inc.",0.22412,55.50598
APPN,Appian Corporation Class A,0.71342,52.78798
WMG,Warner Music Group Corp. Class A,0.59497,52.77577
CLBT,Cellebrite DI Ltd.,0.16834,51.44351
TBIO,"Telesis Bio, Inc.",0.1425,50.4
CELH,"Celsius Holdings, Inc.",1.13915,47.86025
MANH,"Manhattan Associates, Inc.",4.51999,47.63728
EVOJ,Evo Acquisition Corp. Class A,0.22675,47.31731
SDA,SunCar Technology Group Inc. Class A,0.17923,46.03024
ATLX,Atlas Lithium Corporation,0.69659,44.90446
TEAM,Atlassian Corp Class A,3.96402,44.62137
BPMC,Blueprint Medicines Corp.,2.13598,43.18393
AAPL,Apple Inc.,3.99651,42.83988
PET,Wag! Group Co.,0.04157,42.13134
INBX.1,"Inhibrx, Inc.",0.91838,41.37721
BDSX,"Biodesix, Inc.",0.04759,38.66359
SOUN,"SoundHound AI, Inc Class A",0.05495,38.58053
PWM,"Prestige Wealth, Inc. Class A",0.08627,38.48383
APLS,"Apellis Pharmaceuticals, Inc.",1.62703,36.79096
ESTA,"Establishment Labs Holdings, Inc.",0.70514,36.71611
SPPL,Simpple Ltd.,0.1657,35.66687
MRNS,Marinus Pharmaceuticals Inc,0.30717,35.38757
NVDA,NVIDIA Corporation,1.74424,34.99002
GSHD,"Goosehead Insurance, Inc. Class A",2.26516,33.46342
BNTC,Benitec Biopharma Inc,0.12273,33.0359
KLAC,KLA Corporation,25.0573,32.90498
ZS,"Zscaler, Inc.",4.92707,32.55079
GOGO,Gogo Inc.,0.31702,31.95382
SLN,Silence Therapeutics PLC Sponsored ADR,0.54866,31.65895
IDXX,"IDEXX Laboratories, Inc.",17.87901,31.04478
PPYA,Papaya Growth Opportunity Corp. I Class A,0.34842,30.91097
TMC,TMC the metals company Inc.,0.03561,30.8902
CRWD,"CrowdStrike Holdings, Inc. Class A",9.52577,30.70618
TCX,Tucows Inc.,0.90568,29.81185
ADSK,"Autodesk, Inc.",8.66822,29.28052
BIGC,BigCommerce Holdings Inc,0.33416,29.11779
MDB,"MongoDB, Inc. Class A",14.69576,27.25412
RACY,Relativity Acquisition Corp. Class A,0.46466,27.22421
ATEC,"Alphatec Holdings, Inc.",0.561,26.93405
FCUV,"Focus Universal, Inc.",0.05474,26.67154
FTAI,FTAI Aviation Ltd.,1.7476,26.5507
MEOA,"Minority Equality Opportunities Acquisition, Inc. Class A",0.39869,26.03526
FOLD,"Amicus Therapeutics, Inc.",0.54556,26.00997
MELI,"MercadoLibre, Inc.",60.57505,25.94369
VERB,"Verb Technology Company, Inc.",0.00683,25.19766
RGC,Regencell Bioscience Holdings Ltd.,0.9245,25.14332
RVPH,"Reviva Pharmaceuticals Holdings, Inc.",0.20484,25.14157
AMGN,Amgen Inc.,11.6399,24.7442
